Date;Timestamp;Latitude;"Latitude DMS";Longitude;"Longitude DMS";"SOG (knots)";"COG (degree)";"Active interface";Signal;"Total distance (nm)"
2025-05-31T23:55:47;1748735747;43.50739;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;164.3;4G_1056401;;0
2025-05-31T23:50:44;1748735444;43.50737;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;164.6;4G_1056401;;0
2025-05-31T23:45:48;1748735148;43.50739;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;164.3;4G_1056401;;0
2025-05-31T23:40:48;1748734848;43.50739;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;163.9;4G_1056401;;0
2025-05-31T23:35:48;1748734548;43.5074;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;164.4;4G_1056401;;0
2025-05-31T23:30:48;1748734248;43.50741;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;164.1;4G_1056401;;0
2025-05-31T23:25:47;1748733947;43.50738;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;164.4;4G_1056401;;0
2025-05-31T23:20:47;1748733647;43.50739;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;164;4G_1056401;;0
2025-05-31T23:15:44;1748733344;43.50741;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;164;4G_1056401;;0
2025-05-31T23:10:47;1748733047;43.50738;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;164.3;4G_1056401;;0
2025-05-31T23:05:47;1748732747;43.50736;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;164.5;4G_1056401;;0
2025-05-31T23:00:48;1748732448;43.50736;"43° 30' 26"" N";-1.49568;"001° 29' 44"" W";0;163.9;4G_1056401;;0
2025-05-31T22:55:45;1748732145;43.50737;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;163.9;4G_1056401;;0
2025-05-31T22:50:47;1748731847;43.50736;"43° 30' 26"" N";-1.4957;"001° 29' 45"" W";0;163.7;4G_1056401;;0
2025-05-31T22:45:48;1748731548;43.50736;"43° 30' 26"" N";-1.49569;"001° 29' 44"" W";0;163.5;4G_1056401;;0
2025-05-31T22:40:47;1748731247;43.50735;"43° 30' 26"" N";-1.49569;"001° 29' 44"" W";0;163.4;4G_1056401;;0
2025-05-31T22:35:48;1748730948;43.50736;"43° 30' 26"" N";-1.4957;"001° 29' 45"" W";0;163.5;4G_1056401;;0
2025-05-31T22:30:44;1748730644;43.50737;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;163.5;4G_1056401;;0
2025-05-31T22:25:48;1748730348;43.50738;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;163.2;4G_1056401;;0
2025-05-31T22:20:47;1748730047;43.50739;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;163.3;4G_1056401;;0
2025-05-31T22:15:45;1748729745;43.5074;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163.4;4G_1056401;;0
2025-05-31T22:10:47;1748729447;43.50735;"43° 30' 26"" N";-1.4957;"001° 29' 45"" W";0;163.5;4G_1056401;;0
2025-05-31T22:05:47;1748729147;43.50738;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;163.3;4G_1056401;;0
2025-05-31T22:00:45;1748728845;43.50737;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163.4;4G_1056401;;0
2025-05-31T21:55:45;1748728545;43.50737;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;163.2;4G_1056401;;0
2025-05-31T21:50:48;1748728248;43.50738;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;163.1;4G_1056401;;0
2025-05-31T21:45:48;1748727948;43.50736;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;163.2;4G_1056401;;0
2025-05-31T21:40:45;1748727645;43.50735;"43° 30' 26"" N";-1.49571;"001° 29' 45"" W";0;162.8;4G_1056401;;0
2025-05-31T21:35:48;1748727348;43.50737;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163.7;4G_1056401;;0
2025-05-31T21:30:47;1748727047;43.50732;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163.5;4G_1056401;;0
2025-05-31T21:25:44;1748726744;43.50734;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;163.9;4G_1056401;;0
2025-05-31T21:20:48;1748726448;43.50739;"43° 30' 27"" N";-1.49574;"001° 29' 45"" W";0;163.7;4G_1056401;;0
2025-05-31T21:15:48;1748726148;43.50736;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;164.2;4G_1056401;;0
2025-05-31T21:10:45;1748725845;43.50738;"43° 30' 27"" N";-1.49574;"001° 29' 45"" W";0;164.4;4G_1056401;;0
2025-05-31T21:05:48;1748725548;43.50743;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;164.2;4G_1056401;;0
2025-05-31T21:00:47;1748725247;43.50738;"43° 30' 27"" N";-1.49566;"001° 29' 44"" W";0;163.6;4G_1056401;;0
2025-05-31T20:55:47;1748724947;43.50738;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;164.3;4G_1056401;;0
2025-05-31T20:50:45;1748724645;43.50738;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;163.7;4G_1056401;;0
2025-05-31T20:45:48;1748724348;43.50734;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;163.7;4G_1056401;;0
2025-05-31T20:40:47;1748724047;43.50734;"43° 30' 26"" N";-1.4957;"001° 29' 45"" W";0;163.6;4G_1056401;;0
2025-05-31T20:35:48;1748723748;43.50739;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163.6;4G_1056401;;0
2025-05-31T20:30:48;1748723448;43.50737;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163.9;4G_1056401;;0
2025-05-31T20:25:47;1748723147;43.50736;"43° 30' 26"" N";-1.49568;"001° 29' 44"" W";0;163.9;4G_1056401;;0
2025-05-31T20:20:47;1748722847;43.50736;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163.7;4G_1056401;;0
2025-05-31T20:15:48;1748722548;43.50737;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163.6;4G_1056401;;0
2025-05-31T20:10:48;1748722248;43.50737;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163.7;4G_1056401;;0
2025-05-31T20:05:48;1748721948;43.50728;"43° 30' 26"" N";-1.49571;"001° 29' 45"" W";0;163.5;4G_1056401;;0.01
2025-05-31T20:00:47;1748721647;43.50737;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;163.8;4G_1056401;;0.02
2025-05-31T19:55:48;1748721348;43.50734;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163.7;4G_1056401;;0.02
2025-05-31T19:50:45;1748721045;43.50736;"43° 30' 26"" N";-1.49571;"001° 29' 45"" W";0;164;4G_1056401;;0.02
2025-05-31T19:45:48;1748720748;43.50735;"43° 30' 26"" N";-1.49567;"001° 29' 44"" W";0;164.1;4G_1056401;;0.02
2025-05-31T19:40:47;1748720447;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163.9;4G_1056401;;0.02
2025-05-31T19:35:47;1748720147;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163.9;4G_1056401;;0.02
2025-05-31T19:30:45;1748719845;43.50736;"43° 30' 26"" N";-1.49567;"001° 29' 44"" W";0;163.7;4G_1056401;;0.02
2025-05-31T19:25:48;1748719548;43.50738;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;163.7;4G_1056401;;0.02
2025-05-31T19:20:44;1748719244;43.50734;"43° 30' 26"" N";-1.49571;"001° 29' 45"" W";0;163.7;4G_1056401;;0.02
2025-05-31T19:15:48;1748718948;43.50736;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;163.6;4G_1056401;;0.02
2025-05-31T19:10:48;1748718648;43.50739;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;163.7;4G_1056401;;0.02
2025-05-31T19:05:47;1748718347;43.50736;"43° 30' 26"" N";-1.49578;"001° 29' 45"" W";0;163.7;4G_1056401;;0.02
2025-05-31T19:00:47;1748718047;43.50733;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;163.6;4G_1056401;;0.02
2025-05-31T18:55:47;1748717747;43.50734;"43° 30' 26"" N";-1.49568;"001° 29' 44"" W";0;163.7;4G_1056401;;0.02
2025-05-31T18:50:44;1748717444;43.50737;"43° 30' 27"" N";-1.49566;"001° 29' 44"" W";0;163.7;4G_1056401;;0.02
2025-05-31T18:45:48;1748717148;43.50739;"43° 30' 27"" N";-1.49575;"001° 29' 45"" W";0;163.7;4G_1056401;;0.02
2025-05-31T18:40:45;1748716845;43.50736;"43° 30' 26"" N";-1.49582;"001° 29' 45"" W";0;163.6;4G_1056401;;0.02
2025-05-31T18:35:47;1748716547;43.50738;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;163.6;4G_1056401;;0.03
2025-05-31T18:30:47;1748716247;43.50737;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;163.6;4G_1056401;;0.03
2025-05-31T18:25:48;1748715948;43.50739;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;163.6;4G_1056401;;0.03
2025-05-31T18:20:45;1748715645;43.50739;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163.5;4G_1056401;;0.03
2025-05-31T18:15:48;1748715348;43.50735;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;163.8;4G_1056401;;0.03
2025-05-31T18:10:48;1748715048;43.50735;"43° 30' 26"" N";-1.49572;"001° 29' 45"" W";0;163.5;4G_1056401;;0.03
2025-05-31T18:05:45;1748714745;43.50738;"43° 30' 27"" N";-1.49566;"001° 29' 44"" W";0;163.6;4G_1056401;;0.03
2025-05-31T18:00:45;1748714445;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;163.5;4G_1056401;;0.03
