Date;Timestamp;Latitude;"Latitude DMS";Longitude;"Longitude DMS";"SOG (knots)";"COG (degree)";"Active interface";Signal;"Total distance (nm)"
2025-02-28T23:55:47;1740786947;43.50737;"43° 30' 27"" N";-1.49575;"001° 29' 45"" W";0;80;"VSAT Ka_19216811";71%;0
2025-02-28T23:50:44;1740786644;43.50739;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;245;"VSAT Ka_19216811";71%;0
2025-02-28T23:45:47;1740786347;43.50734;"43° 30' 26"" N";-1.49576;"001° 29' 45"" W";0;45;"VSAT Ka_19216811";71%;0
2025-02-28T23:40:44;1740786044;43.50736;"43° 30' 26"" N";-1.49574;"001° 29' 45"" W";0;215;"VSAT Ka_19216811";71%;0
2025-02-28T23:35:47;1740785747;43.50736;"43° 30' 26"" N";-1.4957;"001° 29' 45"" W";0;270;"VSAT Ka_19216811";71%;0
2025-02-28T23:30:47;1740785447;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;180;"VSAT Ka_19216811";71%;0
2025-02-28T23:25:48;1740785148;43.50739;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;124;"VSAT Ka_19216811";71%;0
2025-02-28T23:20:48;1740784848;43.50734;"43° 30' 26"" N";-1.49568;"001° 29' 44"" W";0;329;"VSAT Ka_19216811";57%;0
2025-02-28T23:15:45;1740784545;43.50738;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;137;"VSAT Ka_19216811";71%;0
2025-02-28T23:10:47;1740784247;43.50738;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;270;"VSAT Ka_19216811";71%;0
2025-02-28T23:05:47;1740783947;43.50738;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;90;"VSAT Ka_19216811";71%;0
2025-02-28T23:00:48;1740783648;43.50737;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;324;"VSAT Ka_19216811";71%;0
2025-02-28T22:55:48;1740783348;43.50738;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;144;"VSAT Ka_19216811";71%;0
2025-02-28T22:50:45;1740783045;43.50739;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;250;"VSAT Ka_19216811";71%;0
2025-02-28T22:45:47;1740782747;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;35;"VSAT Ka_19216811";71%;0
2025-02-28T22:40:48;1740782448;43.50738;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;90;"VSAT Ka_19216811";71%;0
2025-02-28T22:35:48;1740782148;43.50739;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;245;"VSAT Ka_19216811";71%;0
2025-02-28T22:30:48;1740781848;43.50738;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;324;"VSAT Ka_19216811";71%;0
2025-02-28T22:25:48;1740781548;43.50735;"43° 30' 26"" N";-1.49567;"001° 29' 44"" W";0;334;"VSAT Ka_19216811";71%;0
2025-02-28T22:20:48;1740781248;43.50734;"43° 30' 26"" N";-1.49566;"001° 29' 44"" W";0;324;"VSAT Ka_19216811";71%;0
2025-02-28T22:15:47;1740780947;43.50737;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;129;"VSAT Ka_19216811";71%;0
2025-02-28T22:10:48;1740780648;43.50739;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;144;"VSAT Ka_19216811";71%;0
2025-02-28T22:05:48;1740780348;43.50739;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;270;"VSAT Ka_19216811";71%;0
2025-02-28T22:00:47;1740780047;43.50741;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;132;"VSAT Ka_19216811";71%;0
2025-02-28T21:55:48;1740779748;43.50738;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;25;"VSAT Ka_19216811";71%;0
2025-02-28T21:50:48;1740779448;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;270;"VSAT Ka_19216811";71%;0
2025-02-28T21:45:44;1740779144;43.50736;"43° 30' 26"" N";-1.49569;"001° 29' 44"" W";0;340;"VSAT Ka_19216811";71%;0
2025-02-28T21:40:48;1740778848;43.50741;"43° 30' 27"" N";-1.49567;"001° 29' 44"" W";0;196;"VSAT Ka_19216811";71%;0
2025-02-28T21:35:48;1740778548;43.50737;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;28;"VSAT Ka_19216811";71%;0
2025-02-28T21:30:48;1740778248;43.50735;"43° 30' 26"" N";-1.49571;"001° 29' 45"" W";0;19;"VSAT Ka_19216811";71%;0
2025-02-28T21:25:48;1740777948;43.50738;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;180;"VSAT Ka_19216811";71%;0
2025-02-28T21:20:47;1740777647;43.50737;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;55;"VSAT Ka_19216811";71%;0
2025-02-28T21:15:47;1740777347;43.50733;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;0;"VSAT Ka_19216811";71%;0
2025-02-28T21:10:47;1740777047;43.50738;"43° 30' 27"" N";-1.49566;"001° 29' 44"" W";0;225;"VSAT Ka_19216811";71%;0
2025-02-28T21:05:48;1740776748;43.50738;"43° 30' 27"" N";-1.49574;"001° 29' 45"" W";0;90;"VSAT Ka_19216811";71%;0
2025-02-28T21:00:48;1740776448;43.50737;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;324;"VSAT Ka_19216811";71%;0
2025-02-28T20:55:48;1740776148;43.50735;"43° 30' 26"" N";-1.49566;"001° 29' 44"" W";0;291;"VSAT Ka_19216811";71%;0
2025-02-28T20:50:48;1740775848;43.50735;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;90;"VSAT Ka_19216811";71%;0
2025-02-28T20:45:48;1740775548;43.50737;"43° 30' 27"" N";-1.49571;"001° 29' 45"" W";0;215;"VSAT Ka_19216811";71%;0
2025-02-28T20:40:45;1740775245;43.50738;"43° 30' 27"" N";-1.49568;"001° 29' 44"" W";0;245;"VSAT Ka_19216811";71%;0
2025-02-28T20:35:48;1740774948;43.50738;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;90;"VSAT Ka_19216811";71%;0
2025-02-28T20:30:48;1740774648;43.50743;"43° 30' 27"" N";-1.49569;"001° 29' 44"" W";0;188;"VSAT Ka_19216811";71%;0
2025-02-28T20:25:47;1740774347;43.5074;"43° 30' 27"" N";-1.4957;"001° 29' 45"" W";0;13;"VSAT Ka_19216811";71%;0
2025-02-28T20:20:47;1740774047;43.50734;"43° 30' 26"" N";-1.49571;"001° 29' 45"" W";0;6;"VSAT Ka_19216811";71%;0
2025-02-28T20:15:47;1740773747;43.50736;"43° 30' 26"" N";-1.49573;"001° 29' 45"" W";0;144;"VSAT Ka_19216811";71%;0
2025-02-28T20:10:48;1740773448;43.50738;"43° 30' 27"" N";-1.49575;"001° 29' 45"" W";0;144;"VSAT Ka_19216811";71%;0
2025-02-28T20:05:48;1740773148;43.50738;"43° 30' 27"" N";-1.49572;"001° 29' 45"" W";0;270;"VSAT Ka_19216811";71%;0
2025-02-28T20:00:48;1740772848;43.50739;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;144;"VSAT Ka_19216811";71%;0
2025-02-28T19:55:48;1740772548;43.50743;"43° 30' 27"" N";-1.49573;"001° 29' 45"" W";0;180;"VSAT Ka_19216811";71%;0
