Date;Timestamp;Latitude;"Latitude DMS";Longitude;"Longitude DMS";"SOG (knots)";"COG (degree)";"Active interface";Signal;"Total distance (nm)"
2025-06-30T23:55:47;1751327747;43.50737;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;166.4;"VSAT Ka_19216811";57%;0
2025-06-30T23:50:47;1751327447;43.50737;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;166.6;"VSAT Ka_19216811";57%;0
2025-06-30T23:45:47;1751327147;43.50739;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;166.6;"VSAT Ka_19216811";57%;0
2025-06-30T23:40:48;1751326848;43.5074;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;166.5;"VSAT Ka_19216811";57%;0
2025-06-30T23:35:45;1751326545;43.50738;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;166.4;"VSAT Ka_19216811";57%;0
2025-06-30T23:30:45;1751326245;43.50741;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;166.7;"VSAT Ka_19216811";57%;0
2025-06-30T23:25:48;1751325948;43.50739;"43° 30' 27"" N";-1.49563;"001° 29' 44"" W";0;166.4;"VSAT Ka_19216811";57%;0
2025-06-30T23:20:47;1751325647;43.50738;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;166.7;"VSAT Ka_19216811";57%;0
2025-06-30T23:15:47;1751325347;43.50738;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;166.4;"VSAT Ka_19216811";57%;0
2025-06-30T23:10:45;1751325045;43.5074;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;164.2;"VSAT Ka_19216811";57%;0
2025-06-30T23:05:48;1751324748;43.50738;"43° 30' 27"" N";-1.49564;"001° 29' 44"" W";0;165.5;"VSAT Ka_19216811";57%;0
2025-06-30T23:00:45;1751324445;43.50741;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;165.6;"VSAT Ka_19216811";57%;0
2025-06-30T22:55:45;1751324145;43.50738;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;165.9;"VSAT Ka_19216811";57%;0
2025-06-30T22:50:45;1751323845;43.5074;"43° 30' 27"" N";-1.49562;"001° 29' 44"" W";0;165.9;"VSAT Ka_19216811";57%;0
2025-06-30T22:45:48;1751323548;43.50741;"43° 30' 27"" N";-1.49561;"001° 29' 44"" W";0;165.6;"VSAT Ka_19216811";57%;0
2025-06-30T22:40:47;1751323247;43.50735;"43° 30' 26"" N";-1.49558;"001° 29' 44"" W";0;166.1;"VSAT Ka_19216811";57%;0
2025-06-30T22:35:47;1751322947;43.50739;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;165.3;"VSAT Ka_19216811";57%;0
2025-06-30T22:30:47;1751322647;43.50739;"43° 30' 27"" N";-1.49561;"001° 29' 44"" W";0;165.6;"VSAT Ka_19216811";57%;0
2025-06-30T22:25:44;1751322344;43.50737;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;165;"VSAT Ka_19216811";57%;0
2025-06-30T22:20:45;1751322045;43.5074;"43° 30' 27"" N";-1.49562;"001° 29' 44"" W";0;164.1;"VSAT Ka_19216811";57%;0
2025-06-30T22:15:48;1751321748;43.5074;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0
2025-06-30T22:10:47;1751321447;43.50738;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.4;"VSAT Ka_19216811";57%;0
2025-06-30T22:05:47;1751321147;43.50741;"43° 30' 27"" N";-1.49561;"001° 29' 44"" W";0;165.9;"VSAT Ka_19216811";57%;0
2025-06-30T22:00:47;1751320847;43.50735;"43° 30' 26"" N";-1.49561;"001° 29' 44"" W";0;165.9;"VSAT Ka_19216811";57%;0
2025-06-30T21:55:47;1751320547;43.50738;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.4;"VSAT Ka_19216811";57%;0
2025-06-30T21:50:47;1751320247;43.50737;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;165.5;"VSAT Ka_19216811";57%;0
2025-06-30T21:45:45;1751319945;43.50737;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;164.8;"VSAT Ka_19216811";57%;0
2025-06-30T21:40:48;1751319648;43.50738;"43° 30' 27"" N";-1.49561;"001° 29' 44"" W";0;163.9;"VSAT Ka_19216811";57%;0
2025-06-30T21:35:48;1751319348;43.50739;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;165.7;"VSAT Ka_19216811";57%;0
2025-06-30T21:30:47;1751319047;43.50739;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;165.7;"VSAT Ka_19216811";57%;0
2025-06-30T21:25:47;1751318747;43.50738;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.7;"VSAT Ka_19216811";57%;0
2025-06-30T21:20:48;1751318448;43.5074;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;165.5;"VSAT Ka_19216811";57%;0
2025-06-30T21:15:48;1751318148;43.50738;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.1;"VSAT Ka_19216811";57%;0
2025-06-30T21:10:48;1751317848;43.50738;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;165.5;"VSAT Ka_19216811";57%;0
2025-06-30T21:05:47;1751317547;43.50736;"43° 30' 26"" N";-1.49558;"001° 29' 44"" W";0;164.7;"VSAT Ka_19216811";57%;0
2025-06-30T21:00:44;1751317244;43.50738;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;164.6;"VSAT Ka_19216811";57%;0
2025-06-30T20:55:44;1751316944;43.50738;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165;"VSAT Ka_19216811";57%;0
2025-06-30T20:50:47;1751316647;43.50739;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.7;"VSAT Ka_19216811";57%;0
2025-06-30T20:45:47;1751316347;43.5074;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.7;"VSAT Ka_19216811";57%;0
2025-06-30T20:40:48;1751316048;43.50739;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.6;"VSAT Ka_19216811";57%;0
2025-06-30T20:35:48;1751315748;43.50736;"43° 30' 26"" N";-1.49558;"001° 29' 44"" W";0;164.2;"VSAT Ka_19216811";57%;0
2025-06-30T20:30:45;1751315445;43.50738;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.4;"VSAT Ka_19216811";57%;0
2025-06-30T20:25:48;1751315148;43.50739;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;164.1;"VSAT Ka_19216811";57%;0
2025-06-30T20:20:48;1751314848;43.50738;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.1;"VSAT Ka_19216811";57%;0
2025-06-30T20:15:48;1751314548;43.50742;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.1;"VSAT Ka_19216811";57%;0
2025-06-30T20:10:44;1751314244;43.50742;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.2;"VSAT Ka_19216811";57%;0
2025-06-30T20:05:48;1751313948;43.50737;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;163.9;"VSAT Ka_19216811";57%;0
2025-06-30T20:00:45;1751313645;43.50741;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0
2025-06-30T19:55:48;1751313348;43.50742;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;163.6;"VSAT Ka_19216811";57%;0
2025-06-30T19:50:48;1751313048;43.50742;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0
2025-06-30T19:45:48;1751312748;43.50741;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;164.1;"VSAT Ka_19216811";57%;0
2025-06-30T19:40:47;1751312447;43.50741;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;163.8;"VSAT Ka_19216811";57%;0
2025-06-30T19:35:47;1751312147;43.50739;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;163.9;"VSAT Ka_19216811";57%;0
2025-06-30T19:30:48;1751311848;43.50742;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0
2025-06-30T19:25:48;1751311548;43.50733;"43° 30' 26"" N";-1.49561;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T19:20:47;1751311247;43.50737;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T19:15:47;1751310947;43.50739;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;163.8;"VSAT Ka_19216811";57%;0.01
2025-06-30T19:10:47;1751310647;43.50738;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T19:05:47;1751310347;43.50735;"43° 30' 26"" N";-1.4956;"001° 29' 44"" W";0;164.5;"VSAT Ka_19216811";57%;0.01
2025-06-30T19:00:48;1751310048;43.50738;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:55:48;1751309748;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:50:45;1751309445;43.50739;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;163.8;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:45:45;1751309145;43.50737;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;164.1;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:40:47;1751308847;43.50737;"43° 30' 27"" N";-1.49563;"001° 29' 44"" W";0;163.8;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:35:47;1751308547;43.50738;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;163.7;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:30:45;1751308245;43.50736;"43° 30' 26"" N";-1.49558;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:25:48;1751307948;43.50738;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;163.8;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:20:47;1751307647;43.50735;"43° 30' 26"" N";-1.49556;"001° 29' 44"" W";0;163.9;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:15:47;1751307347;43.50739;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:10:44;1751307044;43.50738;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:05:47;1751306747;43.50735;"43° 30' 26"" N";-1.49556;"001° 29' 44"" W";0;164.2;"VSAT Ka_19216811";57%;0.01
2025-06-30T18:00:48;1751306448;43.50733;"43° 30' 26"" N";-1.49556;"001° 29' 44"" W";0;164.2;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:55:48;1751306148;43.50733;"43° 30' 26"" N";-1.49562;"001° 29' 44"" W";0;163.9;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:50:45;1751305845;43.50739;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;163.8;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:45:47;1751305547;43.50737;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;163.5;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:40:48;1751305248;43.50738;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:35:48;1751304948;43.50739;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;164.4;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:30:48;1751304648;43.50736;"43° 30' 26"" N";-1.4956;"001° 29' 44"" W";0;164;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:25:45;1751304345;43.50737;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;163.6;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:20:49;1751304049;43.50739;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:15:48;1751303748;43.50738;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:10:48;1751303448;43.50739;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:05:48;1751303148;43.50738;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
2025-06-30T17:00:48;1751302848;43.50739;"43° 30' 27"" N";-1.49558;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
2025-06-30T16:55:47;1751302547;43.5074;"43° 30' 27"" N";-1.49561;"001° 29' 44"" W";0;163.4;"VSAT Ka_19216811";57%;0.01
2025-06-30T16:50:47;1751302247;43.50738;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
2025-06-30T16:45:44;1751301944;43.50737;"43° 30' 27"" N";-1.49559;"001° 29' 44"" W";0;163.3;"VSAT Ka_19216811";57%;0.01
