Date;Timestamp;Latitude;"Latitude DMS";Longitude;"Longitude DMS";"SOG (knots)";"COG (degree)";"Active interface";Signal;"Total distance (nm)"
2025-02-28T23:55:48;1740786948;43.50742;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;164.7;4G_1056401;;0
2025-02-28T23:50:48;1740786648;43.50743;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;164.7;4G_1056401;;0
2025-02-28T23:45:48;1740786348;43.50743;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;164.7;4G_1056401;;0
2025-02-28T23:40:47;1740786047;43.5074;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;164.9;4G_1056401;;0
2025-02-28T23:35:44;1740785744;43.5074;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165;4G_1056401;;0
2025-02-28T23:30:48;1740785448;43.50739;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165;4G_1056401;;0
2025-02-28T23:25:48;1740785148;43.50741;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165;4G_1056401;;0
2025-02-28T23:20:48;1740784848;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165;4G_1056401;;0
2025-02-28T23:15:47;1740784547;43.50742;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.2;4G_1056401;;0
2025-02-28T23:10:45;1740784245;43.50742;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.2;4G_1056401;;0
2025-02-28T23:05:45;1740783945;43.50741;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.3;4G_1056401;;0
2025-02-28T23:00:48;1740783648;43.5074;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.4;4G_1056401;;0
2025-02-28T22:55:45;1740783345;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.5;4G_1056401;;0
2025-02-28T22:50:47;1740783047;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.5;4G_1056401;;0
2025-02-28T22:45:44;1740782744;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.5;4G_1056401;;0
2025-02-28T22:40:48;1740782448;43.50742;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.5;4G_1056401;;0
2025-02-28T22:35:45;1740782145;43.50741;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T22:30:44;1740781844;43.50743;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T22:25:47;1740781547;43.5074;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T22:20:47;1740781247;43.50741;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T22:15:48;1740780948;43.50743;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.8;4G_1056401;;0
2025-02-28T22:10:45;1740780645;43.50739;"43° 30' 27"" N";-1.4956;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T22:05:48;1740780348;43.50743;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.6;4G_1056401;;0
2025-02-28T22:00:47;1740780047;43.50744;"43° 30' 27"" N";-1.49551;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:55:47;1740779747;43.5074;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:50:47;1740779447;43.50739;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:45:48;1740779148;43.50742;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:40:48;1740778848;43.50743;"43° 30' 27"" N";-1.49557;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:35:45;1740778545;43.50742;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:30:47;1740778247;43.50743;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:25:48;1740777948;43.50741;"43° 30' 27"" N";-1.49552;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:20:48;1740777648;43.50743;"43° 30' 27"" N";-1.49555;"001° 29' 44"" W";0;165.5;4G_1056401;;0
2025-02-28T21:15:48;1740777348;43.50744;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.5;4G_1056401;;0
2025-02-28T21:10:47;1740777047;43.5074;"43° 30' 27"" N";-1.49556;"001° 29' 44"" W";0;165.7;4G_1056401;;0
2025-02-28T21:05:45;1740776745;43.50741;"43° 30' 27"" N";-1.49553;"001° 29' 44"" W";0;165.6;4G_1056401;;0
2025-02-28T21:00:45;1740776445;43.50738;"43° 30' 27"" N";-1.49554;"001° 29' 44"" W";0;165.2;4G_1056401;;0
